STATUS,unique_id,title,meets_inclusion_criteria,source,professional_medical_society_code,professional_medical_society,link,publication_reaffirmation_date,year,doi
Archived,835,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 4  cerebrospinal fluid shunt or endoscopic third ventriculostomy for the treatment of hydrocephalus in children.,TRUE,"Limbrick DD Jr, Baird LC, Klimo P Jr, Riva-Cambrin J, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 4  Cerebrospinal fluid shunt or endoscopic third ventriculostomy for the treatment of hydrocephalus in children. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 30-4.  [19 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988780  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14324,2014 Nov,2014,10.3171/2014.7.PEDS14324
Archived,833,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 2  management of posthemorrhagic hydrocephalus in premature infants.,TRUE,"Mazzola CA, Choudhri AF, Auguste KI, Limbrick DD Jr, Rogido M, Mitchell L, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 2  Management of posthemorrhagic hydrocephalus in premature infants. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 8-23.  [80 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988778  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14322,2014 Nov,2014,10.3171/2014.7.PEDS14322
Published,422,Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for CYP2C9 and HLA-B genotypes and phenytoin dosing  2020 update.,TRUE,"Karnes JH, Rettie AE, Somogyi AA, Huddart R, Fohner AE, Formea CM, Lee MTM, Llerena A, Whirl-Carrillo M, Klein TE, Phillips EJ, Mintzer S, Gaedigk A, Caudle KE, Callaghan JT. Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for CYP2C9 and HLA-B genotypes and phenytoin dosing  2020 update. Clin Pharmacol Ther. 2021 Feb;109(2) 302-309.  [37 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/32779747/  PubMed )","[e1dfac05efd7e2bcabe2b0ff26bd6cab,]","[Clinical Pharmacogenetics Implementation Consortium (CPIC), ]",https //ascpt.onlinelibrary.wiley.com/doi/epdf/10.1002/cpt.2008,2021 Feb,2021,10.1002/cpt.2008
Published,456,Prevention and treatment of anticipatory chemotherapy-induced nausea and vomiting in pediatric cancer patients and hematopoietic stem cell recipients  clinical practice guideline update.,TRUE,"Patel P, Robinson PD, Devine KA, Positano K, Cohen M, Gibson P, Holdsworth M, Phillips R, Spinelli D, Thackray J, van de Wetering M, Woods D, Cabral S, Sung L, Dupuis LL. Prevention and treatment of anticipatory chemotherapy-induced nausea and vomiting in pediatric cancer patients and hematopoietic stem cell recipients  clinical practice guideline update. Pediatr Blood Cancer. 2021 May;68(5) e28947.  [50 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/33686754/  PubMed )","[889fb6e15fdccbd624fa35564f9edc4d,]","[Pediatric Oncology Group of Ontario (POGO), ]",https //onlinelibrary.wiley.com/doi/epdf/10.1002/pbc.28947,2021 May,2021,10.1002/pbc.28947
Archived,249,Systemic therapy in men with metastatic castration-resistant prostate cancer  American Society of Clinical Oncology and Cancer Care Ontario clinical practice guideline.,TRUE,"Basch E, Loblaw DA, Oliver TK, Carducci M, Chen RC, Frame JN, Garrels K, Hotte S, Kattan MW, Raghavan D, Saad F, Taplin ME, Walker-Dilks C, Williams J, Winquist E, Bennett CL, Wootton T, Rumble RB, Dusetzina SB, Virgo KS. Systemic therapy in men with metastatic castration-resistant prostate cancer  American Society of Clinical Oncology and Cancer Care Ontario clinical practice guideline. J Clin Oncol. 2014 Oct;32(30) 3436-48.  [65 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25199761  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,a231f103ca4c8fe511badeb3289a6c8c,]","[American Society of Clinical Oncology (ASCO), Ontario Health (Cancer Care Ontario), Program in Evidence-Based Care (OH [CCO] PEBC), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2013.54.8404,2014 Oct 20,2014,10.1200/JCO.2013.54.8404
Published,421,Expanded Clinical Pharmacogenetics Implementation Consortium guideline for medication use in the context of G6PD genotype.,FALSE,"Gammal RS, Pirmohamed M, Somogyi AA, Morris SA, Formea CM, Elchynski AL, Oshikoya KA, McLeod HL, Haidar CE, Whirl-Carrillo M, Klein TE, Caudle KE, Relling MV. Expanded Clinical Pharmacogenetics Implementation Consortium guideline for medication use in the context of G6PD genotype. Clin Pharmacol Ther. 2023 May.  [51 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/36049896/  PubMed )","[e1dfac05efd7e2bcabe2b0ff26bd6cab,]","[Clinical Pharmacogenetics Implementation Consortium (CPIC), ]",https //ascpt.onlinelibrary.wiley.com/doi/epdf/10.1002/cpt.2735,2023 May,2023,10.1002/cpt.2735
Archived,388,EAACI food allergy and anaphylaxis guidelines. Primary prevention of food allergy.,FALSE,"Muraro A, Halken S, Arshad SH, Beyer K, Dubois AE, Du Toit G, Eigenmann PA, Grimshaw KE, Hoest A, Lack G, O Mahony L, Papadopoulos NG, Panesar S, Prescott S, Roberts G, de Silva D, Venter C, Verhasselt V, Akdis AC, Sheikh A, EAACI Food Allergy and Anaphylaxis Guidelines Group. EAACI food allergy and anaphylaxis guidelines. Primary prevention of food allergy. Allergy. 2014 May;69(5) 590-601.  [98 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=24697491  PubMed )","[3d3e6e78748148bc65d177a16da0ca14,]","[European Academy of Allergy and Clinical Immunology (EAACI), ]",http //onlinelibrary.wiley.com/doi/10.1111/all.12398/full,2014 May,2014,10.1111/all.12398
Archived,387,EAACI food allergy and anaphylaxis guidelines  diagnosis and management of food allergy.,FALSE,"Muraro A, Werfel T, Hoffmann-Sommergruber K, Roberts G, Beyer K, Bindslev-Jensen C, Cardona V, Dubois A, duToit G, Eigenmann P, Fernandez Rivas M, Halken S, Hickstein L, Høst A, Knol E, Lack G, Marchisotto MJ, Niggemann B, Nwaru BI, Papadopoulos NG, Poulsen LK, Santos AF, Skypala I, Schoepfer A, Van Ree R, Venter C, Worm M, Vlieg-Boerstra B, Panesar S, de Silva D, Soares-Weiser K, Sheikh A, Ballmer-Weber BK, Nilsson C, de Jong NW, Akdis CA, EAACI Food Allergy and Anaphylaxis Guidelines Group. EAACI food allergy and anaphylaxis guidelines  diagnosis and management of food allergy. Allergy. 2014 Aug;69(8) 1008-25.  [86 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=24909706  PubMed )","[3d3e6e78748148bc65d177a16da0ca14,]","[European Academy of Allergy and Clinical Immunology (EAACI), ]",http //onlinelibrary.wiley.com/doi/10.1111/all.12429/full,2014 Aug,2014,10.1111/all.12429
Published,386,EAACI guidelines  anaphylaxis (2021 update).,FALSE,"Muraro A, Worm M, Alviani C, Cardona V, DunnGalvin A, Heise Garvey L, Riggioni C, de Silva D, Angier E, Arasi S, Bellou A, Beyer K, Bijlhout D, Beatrice Bilò M, Bindslev-Jensen C, Brockow K, Fernandez-Rivas M, Halken S, Jensen B, Khaleva E, Michaelis LJ, Oude Elberink HNG, Regent L, Sanchez A, Vlieg-Boerstra BJ, Roberts G. EAACI guidelines  anaphylaxis (2021 update). Allergy. 2022 Feb;77(2) 357-377.  [117 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/34343358/  PubMed )","[3d3e6e78748148bc65d177a16da0ca14,]","[European Academy of Allergy and Clinical Immunology (EAACI), ]",https //onlinelibrary.wiley.com/doi/epdf/10.1111/all.15032,2022 Feb,2022,10.1111/all.15032
Published,248,Chemotherapy and targeted therapy for patients with human epidermal growth factor receptor 2–negative metastatic breast cancer that is either endocrine-pretreated or hormone receptor-negative  ASCO guideline update.,TRUE,"Moy B, Rumble RB, Come SE, Davidson NE, Di Leo A, Gralow JR, Hortobagyi GN, Yee D, Smith IE, Chavez-MacGregor M, Nanda R, McArthur HL, Spring L, Reeder-Hayes KE, Ruddy KJ, Unger PS, Vinayak S, Irvin Jr WJ, Armaghani A, Danso MA, Dickson N, Turner SS, Perkins CL, Carey LA. Chemotherapy and targeted therapy for patients with human epidermal growth factor receptor 2–negative metastatic breast cancer that is either endocrine-pretreated for hormone receptor-negative  ASCO guideline update. J Clin Oncol. 2021 Dec 10;39(35) 3938-3958.  [38 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/34324366/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",https //ascopubs.org/doi/pdf/10.1200/JCO.21.01374,2021 Dec 10,2021,10.1200/JCO.21.01374
Published,247,Prevention and management of chemotherapy-induced peripheral neuropathy in survivors of adult cancers.,TRUE,"Loprinzi CL, Lacchetti C, Bleeker J, Cavaletti G, Chauhan C, Hertz DL, Kelley MR, Lavino A, Lustberg MB, Paice JA, Schneider BP, Lavoie Smith EM, Smith ML, Smith TJ, Wagner-Johnston N, Hershman DL. Prevention and management of chemotherapy-induced peripheral neuropathy in survivors of adult cancers  ASCO guideline update. J Clin Oncol. 2020 Oct 1;38(28) 3325-3348.  [86 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/32663120/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",https //ascopubs.org/doi/pdf/10.1200/JCO.20.01399,2020 Oct 1,2020,10.1200/JCO.20.01399
Archived,476,Guidelines for the prevention of stroke in women.,FALSE,"Bushnell C, McCullough LD, Awad IA, Chireau MV, Fedder WN, Furie KL, Howard VJ, Lichtman JH, Lisabeth LD, Piña IL, Reeves MJ, Rexrode KM, Saposnik G, Singh V, Towfighi A, Vaccarino V, Walters MR, on behalf of the American Heart Association Stroke Council, Council on Cardiovascular and Stroke Nursing, Council on Clinical Cardiology, Council on Epidemiology and Prevention, Council for High Blood Pressure Research. Guidelines for the prevention of stroke in women  a statement for healthcare professionals from the American Heart Association/American Stroke Association. Stroke. 2014 May;45(5) 1545-88.  [449 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=24503673   PubMed )","[61bb5c31fa9a85ac2ecca920ffa77e6d,3f893cb2fb71b9c55d90372d4342e752,]","[American Heart Association (AHA), American Stroke Association (ASA), ]",https //www.ahajournals.org/doi/pdf/10.1161/01.str.0000442009.06663.48,2014 May,2014,10.1161/01.str.0000442009.06663.48
Published,430,Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for dihydropyrimidine dehydrogenase genotype and fluoropyrimidine dosing  2017 update.,TRUE,"Amstutz U, Henricks LM, Offer SM, Barbarino J, Schellens JHM, Swen JJ, Klein TE, McLeod HL, Caudle KE, Diasio RB, Schwab M. Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for dihydropyrimidine dehydrogenase genotype and fluoropyrimidine dosing  2017 update. Clin Pharmacol Ther. 2018 Feb;103(2) 210-6.  [41 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29152729  PubMed )","[e1dfac05efd7e2bcabe2b0ff26bd6cab,]","[Clinical Pharmacogenetics Implementation Consortium (CPIC), ]",https //ascpt.onlinelibrary.wiley.com/doi/epdf/10.1002/cpt.911,2018 Feb,2018,10.1002/cpt.911
Published,63,Cystic Fibrosis Foundation pulmonary guidelines. Use of cystic fibrosis transmembrane conductance regulator modulator therapy in patients with cystic fibrosis.,TRUE,"Ren CL, Morgan RL, Oermann C, Resnick HE, Brady C, Campbell A, DeNagel R, Guill M, Hoag J, Lipton A, Newton T, Peters S, Willey-Courand DB, Naureckas ET. Cystic Fibrosis Foundation pulmonary guidelines. Use of cystic fibrosis transmembrane conductance regulator modulator therapy in patients with cystic fibrosis. Ann Am Thorac Soc. 2018 Mar;15(3) 271-80.  [44 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29342367  PubMed )","[aeec9b48063372c877af740a36982dc1,]","[Cystic Fibrosis Foundation (CFF), ]",https //www.atsjournals.org/doi/pdf/10.1513/AnnalsATS.201707-539OT,2018 Mar,2018,10.1513/AnnalsATS.201707-539OT
Published,271,Platelet transfusion for patients with cancer.,TRUE,"Schiffer CA, Bohlke K, Delaney M, Hume H, Magdalinski AJ, McCullough JJ, Omel JL, Rainey JM, Rebulla P, Rowley SD, Troner MB, Anderson KC. Platelet transfusion for patients with cancer  American Society of Clinical Oncology clinical practice guideline update. J Clin Oncol. 2018 Jan 20;36(3) 283-99.  [130 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29182495  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2017.76.1734,2018 Jan 20,2018,10.1200/JCO.2017.76.1734
Published,122,The American Psychiatric Association practice guideline for the pharmacological treatment of patients with alcohol use disorder.,TRUE,American Psychiatric Association (APA). The American Psychiatric Association practice guideline for the pharmacological treatment of patients with alcohol use disorder. Washington (DC)  American Psychiatric Association (APA); 2018 Jan. 214 p.  [487 references ],"[f8fa1202fccf26d9f6fb3965d7b265a3,]","[American Psychiatric Association (APA), ]",https //psychiatryonline.org/doi/pdf/10.1176/appi.books.9781615371969,2018 Jan,2018,10.1176/appi.books.9781615371969
Published,270,Sentinel lymph node biopsy and management of regional lymph nodes in melanoma.,TRUE,"Wong SL, Faries MB, Kennedy EB, Agarwala SS, Akhurst TJ, Ariyan C, Balch CM, Berman BS, Cochran A, Delman KA, Gorman M, Kirkwood JM, Moncrieff MD, Zager JS, Lyman GH. Sentinel lymph node biopsy and management of regional lymph nodes in melanoma  American Society of Clinical Oncology and Society of Surgical Oncology clinical practice guideline update. J Clin Oncol. 2018 Feb;36(4) 399-413.  [44 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29232171  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,46984fdb8fc95dc8d3664eb15d2fdab2,]","[American Society of Clinical Oncology (ASCO), Society of Surgical Oncology (SSO), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2017.75.7724,2018 Feb 1,2018,10.1200/JCO.2017.75.7724
Archived,269,Role of bone-modifying agents in metastatic breast cancer.,TRUE,"Van Poznak C, Somerfield MR, Barlow WE, Biermann JS, Bosserman LD, Clemons MJ, Dhesy-Thind SK, Dillmon MS, Eisen A, Frank ES, Jagsi R, Jimenez R, Theriault RL, Vandenberg TA, Yee GC, Moy B. Role of bone-modifying agents in metastatic breast cancer  an American Society of Clinical Oncology-Cancer Care Ontario focused guideline update. J Clin Oncol. 2017 Dec 10;35(35) 3978-86.  [22 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/29035643  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2017.75.4614,2017 Dec,2017,10.1200/JCO.2017.75.4614
Published,268,Therapy for stage IV non–small-cell lung cancer without driver alterations  ASCO living guideline.,FALSE,"Singh N, Temin S, Baker Jr S, Blanchard E, Brahmer JR, Celano P, Duma N, Ellis PM, Elkins IB, Haddad RY, Hesketh PJ, Jain D, Johnson DH, Leighl NB, Mamdani H, Masters G, Moffitt PR, Phillips T, Riely GJ, Robinson AG, Rosell R, Schiller JH, Schneider BJ, Spigel DR, Jaiyesimi IA. Therapy for stage IV non–small-cell lung cancer without driver alterations  ASCO living guideline. J Clin Oncol. 2022 Oct 1;40(28) 3323-3343.  [27 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/35816668/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",https //ascopubs.org/doi/pdf/10.1200/JCO.22.00825,2022 Oct 1,2022,10.1200/JCO.22.00825
Archived,76,Guidelines for the provision and assessment of nutrition support therapy in the pediatric critically ill patient.,TRUE,"Mehta NM, Skillman HE, Irving SY, Coss-Bu JA, Vermilyea S, Farrington EA, McKeever L, Hall AM, Goday PS, Braunschweig C. Guidelines for the provision and assessment of nutrition support therapy in the pediatric critically ill patient  Society of Critical Care Medicine and American Society for Parenteral and Enteral Nutrition. JPEN J Parenter Enteral Nutr. 2017 Jul;41(5) 706-42.  [104 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/28686844  PubMed )","[104b054d22e0e528c8dd9c57ff0206d0,1b22c181474e077f52d16fb63c827700,]","[American Society for Parenteral and Enteral Nutrition (ASPEN), Society of Critical Care Medicine (SCCM), ]",https //onlinelibrary.wiley.com/doi/full/10.1177/0148607117711387,2017 Jul,2017,10.1177/0148607117711387
Archived,267,Patient-clinician communication.,TRUE,"Gilligan T, Coyle N, Frankel RM, Berry DL, Bohlke K, Epstein RM, Finlay E, Jackson VA, Lathan CS, Loprinzi CL, Nguyen LH, Seigel C, Baile WF. Patient-clinician communication  American Society of Clinical Oncology consensus guideline. J Clin Oncol. 2017 Nov 1;35(31) 3618-32.  [69 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/28892432  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2017.75.2311,2017 Nov 1,2017,10.1200/JCO.2017.75.2311
Published,266,Antiemetics  ASCO guideline update.,TRUE,"Hesketh PJ, Kris MG, Basch E, Bohlke K, Barbour SY, Clark-Snow RA, Danso MA, Dennis K, Dupuis LL, Dusetzina SB, Eng C, Feyer PC, Jordan K, Noonan K, Sparacio D, Somerfield MR, Lyman GH. Antiemetics  ASCO guideline update. J Clin Oncol. 2020 Aug 20;38(24) 2782-2797.  [39 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/32658626/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",https //ascopubs.org/doi/pdf/10.1200/JCO.20.01296,2020 Aug 20,2020,10.1200/JCO.20.01296
Archived,429,Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for pharmacogenetics-guided warfarin dosing  2017 update.,TRUE,"Johnson JA, Caudle KE, Gong L, Whirl-Carrillo M, Stein CM, Scott SA, Lee MT, Gage BF, Kimmel SE, Perera MA, Anderson JL, Pirmohamed M, Klein TE, Limdi NA, Cavallari LH, Wadelius M. Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for pharmacogenetics-guided warfarin dosing  2017 update. Clin Pharmacol Ther. 2017 Sep;102(3) 397-404.  [46 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/28198005  PubMed )","[e1dfac05efd7e2bcabe2b0ff26bd6cab,]","[Clinical Pharmacogenetics Implementation Consortium (CPIC), ]",https //ascpt.onlinelibrary.wiley.com/doi/epdf/10.1002/cpt.668,2017 Sep,2017,10.1002/cpt.668
