"","STATUS","unique_id","title","meets_inclusion_criteria","source","professional_medical_society_code","professional_medical_society","link","publication_reaffirmation_date","year"
"11","Archived",104,"Evidence-based guideline summary  evaluation, diagnosis, and management of facioscapulohumeral muscular dystrophy.",TRUE,"Tawil R, Kissel JT, Heatwole C, Pandya S, Gronseth G, Benatar M. Evidence-based guideline summary  Evaluation, diagnosis, and management of facioscapulohumeral muscular dystrophy  report of the Guideline Development, Dissemination, and Implementation Subcommittee of the American Academy of Neurology and the Practice Issues Review Panel of the American Association of Neuromuscular & Electrodiagnostic Medicine. Neurology. 2015 Jul 28;85(4) 357-64.  [74 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26215877  PubMed )","[fcef653d3ad4cc5aa99a27837276a3a1,999fd6202653f54627ef1c3a076749de,]","[American Academy of Neurology (AAN), American Association of Neuromuscular & Electrodiagnostic Medicine (AANEM), ]","https //www.aan.com/Guidelines/home/GuidelineDetail/701","2015 Jul 28",2015
"12","Published",444,"American Academy of Orthopaedic Surgeons clinical practice guideline on the treatment of pediatric diaphyseal femur fractures.",TRUE,"American Academy of Orthopaedic Surgeons (AAOS). American Academy of Orthopaedic Surgeons clinical practice guideline on the treatment of pediatric diaphyseal femur fractures. Rosemont (IL)  American Academy of Orthopaedic Surgeons (AAOS); 2020 Dec 5. 36 p.  [50 references ]","[a886fc8b853e4923bdc11a94dd4c1b04,]","[American Academy of Orthopaedic Surgeons (AAOS), ]","https //www.aaos.org/globalassets/quality-and-practice-resources/pdff/pdffcpg.pdf","2020 Dec 5",2020
"13","Archived",71,"AARC clinical practice guideline  effectiveness of pharmacologic airway clearance therapies in hospitalized patients.",TRUE,"Strickland SL, Rubin BK, Haas CF, Volsko TA, Drescher GS, O Malley CA. AARC clinical practice guideline  effectiveness of pharmacologic airway clearance therapies in hospitalized patients. Respir Care. 2015 Jul;60(7) 1071-7.  [63 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26113566  PubMed )","[586307bc5dcfadc3e7946973434a8715,]","[American Association for Respiratory Care (AARC), ]","http //www.rcjournal.com/cpgs/pdf/Pharm_CPG.pdf","2015 Jul",2015
"14","Archived",423,"Clinical Pharmacogenetics Implementation Consortium (CPIC) guidelines for CYP3A5 genotype and tacrolimus dosing.",FALSE,"Birdwell KA, Decker B, Barbarino JM, Peterson JF, Stein CM, Sadee W, Wang D, Vinks AA, He Y, Swen JJ, Leeder JS, van Schaik RHN, Thummel KE, Klein TE, Caudle KE, MacPhee IAM. Clinical Pharmacogenetics Implementation Consortium (CPIC) guidelines for CYP3A5 genotype and tacrolimus dosing. Clin Pharmacol Ther. 2015 Jul;98(1) 19-24.  [40 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25801146  PubMed )","[e1dfac05efd7e2bcabe2b0ff26bd6cab,]","[Clinical Pharmacogenetics Implementation Consortium (CPIC), ]","https //cpicpgx.org/guidelines/guideline-for-tacrolimus-and-cyp3a5/","2015 Jul",2015
"15","Archived",224,"Care transitions.",FALSE,"Registered Nurses  Association of Ontario (RNAO). Care transitions. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2014 Mar. 88 p.  [146 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/Care_Transitions_BPG.pdf","2014 Mar",2014
"16","Archived",250,"Recommendations for the use of WBC growth factors  American Society of Clinical Oncology clinical practice guideline update.",TRUE,"Smith TJ, Bohlke K, Lyman GH, Carson KR, Crawford J, Cross SJ, Goldberg JM, Khatcheressian JL, Leighl NB, Perkins CL, Somlo G, Wade JL, Wozniak AJ, Armitage JO. Recommendations for the use of WBC growth factors  American Society of Clinical Oncology clinical practice guideline update. J Clin Oncol. 2015 Oct 1;33(28) 3199-212.  [98 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26169616  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","http //ascopubs.org/doi/pdf/10.1200/JCO.2015.62.3488","2015 Oct 1",2015
"17","Archived",797,"Society for Vascular Surgery practice guidelines for atherosclerotic occlusive disease of the lower extremities  management of asymptomatic disease and claudication.",FALSE,"Society for Vascular Surgery Lower Extremity Guidelines Writing Group, Conte MS, Pomposelli FB, Clair DG, Geraghty PJ, McKinsey JF, Mills JL, Moneta GL, Murad MH, Powell RJ, Reed AB, Schanzer A, Sidawy AN. Society for Vascular Surgery practice guidelines for atherosclerotic occlusive disease of the lower extremities  management of asymptomatic disease and claudication. J Vasc Surg. 2015 Mar;61(3 Suppl) 2S-41S.  [275 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25638515  PubMed )","[c719f1803ea795d3dc9f11b0f7a610a3,]","[Society for Vascular Surgery (SVS), ]","https //www.jvascsurg.org/article/S0741-5214(14)02284-8/pdf","2015 Mar",2015
"18","Archived",223,"Preventing and addressing abuse and neglect of older adults  person-centred, collaborative, system-wide approaches.",FALSE,"Registered Nurses  Association of Ontario (RNAO). Preventing and addressing abuse and neglect of older adults  person-centred, collaborative, system-wide approaches. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2014 Jul. 127 p.  [196 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/Preventing_Abuse_and_Neglect_of_Older_Adults_English_WEB.pdf","2014 Jul",2014
"19","Archived",243,"Evidence-based clinical practice guideline on the nonsurgical treatment of chronic periodontitis by means of scaling and root planing with or without adjuncts.",TRUE,"Smiley CJ, Tracy SL, Abt E, Michalowicz BS, John MT, Gunsolley J, Cobb CM, Rossmann J, Harrel SK, Forrest JL, Hujoel PP, Noraian KW, Greenwell H, Frantsve-Hawley J, Estrich C, Hanson N. Evidence-based clinical practice guideline on the nonsurgical treatment of chronic periodontitis by means of scaling and root planing with or without adjuncts. J Am Dent Assoc. 2015 Jul;146(7) 525-35.  [74 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26113100  PubMed )","[cd0899266153ece9c80c7f957e99cddc,]","[American Dental Association (ADA), ]","https //jada.ada.org/article/S0002-8177(15)00334-7/pdf","2015 Jul",2015
"20","Archived",290,"Clinical practice guideline on the management of depression in adults.",FALSE,"Working Group of the Clinical Practice Guideline on the Management of Depression in Adults. Clinical practice guideline on the management of depression in adults. Madrid  Ministry of Health, Social Services and Equality, Galician Health Technology Assessment Agency (HTA) (avalia-t); 2014. 232 p.  [408 references ]","[e800976fe10b1e255979427a9f4e436c,c15293b20b15f08bd12a2d0e4e8ec1a8,f753e4dc9743bf84cb5c1039a01e675f,]","[Galician Health Technology Assessment Agency, GuiaSalud, Ministry of Health (Spain), ]","https //portal.guiasalud.es/wp-content/uploads/2018/12/GPC_534_Depresion_Adulto_Avaliat_compl_en.pdf","2014",2014
"21","Archived",841,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 10  change in ventricle size as a measurement of effective treatment of hydrocephalus.",TRUE,"Nikas DC, Post AF, Choudhri AF, Mazzola CA, Mitchell L, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 10  Change in ventricle size as a measurement of effective treatment of hydrocephalus. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 77-81.  [25 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988786  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14330","2014 Nov",2014
"22","Archived",67,"Clinical practice guideline on management of patients with diabetes and chronic kidney disease stage 3b or higher (eGFR <45 mL/min).",TRUE,"Guideline development group. Clinical practice guideline on management of patients with diabetes and chronic kidney disease stage 3b or higher (eGFR <45 mL/min). Nephrol Dial Transplant. 2015 May;30 Suppl 2 ii1-142.  [343 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25940656  PubMed )","[addce75179a8b42defa47b41aef48bc8,]","[European Renal Best Practice (ERBP), ]","http //ndt.oxfordjournals.org/content/30/suppl_2/ii1.full.pdf","2015 May",2015
"23","Archived",130,"WHO guidelines for treatment of cervical intraepithelial neoplasia 2-3 and adenocarcinoma in situ  cryotherapy, large loop excision of the transformation zone, and cold knife conization.",TRUE,"World Health Organization (WHO). WHO guidelines for treatment of cervical intraepithelial neoplasia 2–3 and adenocarcinoma in situ  cryotherapy, large loop excision of the transformation zone, and cold knife conization. Geneva (Switzerland)  World Health Organization (WHO); 2014. 34 p.  [17 references ]","[4dae77f6329f57c8a923a1c944661c1f,]","[World Health Organization (WHO), ]","http //apps.who.int/iris/bitstream/10665/104174/1/9789241506779_eng.pdf?ua=1","2014",2014
"24","Archived",840,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 9  effect of ventricular catheter entry point and position.",TRUE,"Kemp J, Flannery AM, Tamber MS, Duhaime AC. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 9  Effect of ventricular catheter entry point and position. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 72-6.  [17 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988785  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14329","2014 Nov",2014
"25","Archived",839,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 7  antibiotic-impregnated shunt systems versus conventional shunts in children  a systematic review and meta-analysis.",TRUE,"Klimo P Jr, Thompson CJ, Baird LC, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 7  Antibiotic-impregnated shunt systems versus conventional shunts in children  a systematic review and meta-analysis. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 53-9.  [56 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988783  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14327","2014 Nov",2014
"26","Archived",838,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 8  management of cerebrospinal fluid shunt infection.",TRUE,"Tamber MS, Klimo P Jr, Mazzola CA, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 8  Management of cerebrospinal fluid shunt infection. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 60-71.  [37 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988784  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14328","2014 Nov",2014
"27","Archived",837,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 6  preoperative antibiotics for shunt surgery in children with hydrocephalus  a systematic review and meta-analysis.",TRUE,"Klimo P Jr, Van Poppel M, Thompson CJ, Baird LC, Duhaime AC, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 6  Preoperative antibiotics for shunt surgery in children with hydrocephalus  a systematic review and meta-analysis. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 44-52.  [44 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988782  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14326","2014 Nov",2014
"28","Archived",836,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 5  effect of valve type on cerebrospinal fluid shunt efficacy.",TRUE,"Baird LC, Mazzola CA, Auguste KI, Klimo P Jr, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 5  Effect of valve type on cerebrospinal fluid shunt efficacy. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 35-43.  [44 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988781  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14325","2014 Nov",2014
"29","Archived",834,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 3  endoscopic computer-assisted electromagnetic navigation and ultrasonography as technical adjuvants for shunt placement.",TRUE,"Flannery AM, Duhaime AC, Tamber MS, Kemp J. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 3  Endoscopic computer-assisted electromagnetic navigation and ultrasonography as technical adjuvants for shunt placement. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 24-9.  [15 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988779  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14323","2014 Nov",2014
"30","Archived",835,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 4  cerebrospinal fluid shunt or endoscopic third ventriculostomy for the treatment of hydrocephalus in children.",TRUE,"Limbrick DD Jr, Baird LC, Klimo P Jr, Riva-Cambrin J, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 4  Cerebrospinal fluid shunt or endoscopic third ventriculostomy for the treatment of hydrocephalus in children. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 30-4.  [19 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988780  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14324","2014 Nov",2014
"31","Archived",833,"Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 2  management of posthemorrhagic hydrocephalus in premature infants.",TRUE,"Mazzola CA, Choudhri AF, Auguste KI, Limbrick DD Jr, Rogido M, Mitchell L, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 2  Management of posthemorrhagic hydrocephalus in premature infants. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 8-23.  [80 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988778  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]","http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14322","2014 Nov",2014
"32","Archived",725,"Definitive and adjuvant radiotherapy in locally advanced non-small cell lung cancer  an American Society for Radiation Oncology (ASTRO) evidence-based clinical practice guideline.",TRUE,"Rodrigues G, Choy H, Bradley J, Rosenzweig KE, Bogart J, Curran WJ Jr, Gore E, Langer C, Louie A, Lutz S, Machtay M, Puri V, Werner-Wasik M, Videtic GMM. Definitive and adjuvant radiotherapy in locally advanced non-small cell lung cancer  an American Society for Radiation Oncology (ASTRO) evidence-based clinical practice guideline. Pract Radiat Oncol. 2015;(Suppl) 1-48.  [122 references ]","[1aacca3b799e8e9d631dba63152adefb,]","[American Society for Radiation Oncology (ASTRO), ]","https //www.practicalradonc.org/cms/10.1016/j.prro.2015.02.012/attachment/f9d1e05c-a2c2-4221-83ca-727961b2da7a/mmc1.pdf","2015",2015
"33","Archived",390,"Intravesical instillation with mitomycin C or bacillus Calmette-Guérin in non-muscle invasive bladder cancer.",TRUE,"Vahr S, De Blok W, Love-Retinger N, Thoft Jensen B, Turner B, Villa G, Hrbácek J. Intravesical instillation with mitomycin C or bacillus Calmette-Guérin in non-muscle invasive bladder cancer. Arnhem (The Netherlands)  European Association of Urology Nurses (EAUN); 2015 Mar. 88 p.  [178 references ]","[feaff0d30fa6698457835ed7fbf414be,]","[European Association of Urology Nurses (EAUN), ]","https //nurses.uroweb.org/wp-content/uploads/EAUN15-Guideline-Intravesical-instillation.pdf","2015 Mar",2015
"34","Archived",218,"Management of primary cutaneous squamous cell carcinoma. A national clinical guideline.",FALSE,"Scottish Intercollegiate Guidelines Network (SIGN). Management of primary cutaneous squamous cell carcinoma. A national clinical guideline. Edinburgh (Scotland)  Scottish Intercollegiate Guidelines Network (SIGN); 2014 Jun. 44 p. (SIGN publication; no. 140).  [86 references ]","[88f8c08bf65b314753f36d3c93902a25,]","[Scottish Intercollegiate Guidelines Network (SIGN), ]","https //www.sign.ac.uk/assets/sign140.pdf","2014 Jun",2014
"35","Archived",978,"Suspected cancer  recognition and referral.",FALSE,"National Institute for Health and Care Excellence (NICE). Suspected cancer  recognition and referral. London (UK)  National Institute for Health and Care Excellence (NICE); 2015 Jun 23. 79 p. (NICE guideline; no. 12).","[98c36041002547b2fc68cd7d2fc19855,]","[National Institute for Health and Care Excellence (NICE), ]","https //www.nice.org.uk/guidance/ng12","2015 Jun 23",2015
"36","Archived",222,"Engaging clients who use substances.",TRUE,"Registered Nurses  Association of Ontario (RNAO). Engaging clients who use substances. Toronto (ON)  Registered Nurses  Association of Ontario (RNAO); 2015 Mar. 115 p.  [179 references ]","[0c5ef0ec55c929341afd3871c9e283fe,]","[Registered Nurses  Association of Ontario (RNAO), ]","https //rnao.ca/sites/rnao-ca/files/Engaging_Clients_Who_Use_Substances_13_WEB.pdf","2015 Mar",2015
"37","Archived",159,"Screening for speech and language delay and disorders in children aged 5 years or younger  U.S. Preventive Services Task Force recommendation statement.",FALSE,"U.S. Preventive Services Task Force. Screening for speech and language delay and disorders in children aged 5 years or younger  U.S. Preventive Services Task Force recommendation statement. Pediatrics. 2015 Aug;136(2) e474-81.  [22 references ] [PubMed](https //www.ncbi.nlm.nih.gov/pubmed/26152670  PubMed )","[776d8e4a948e573892bf43977e4ee9f8,]","[U.S. Preventive Services Task Force (USPSTF), ]","http //pediatrics.aappublications.org/content/136/2/e474.long","2015 Aug",2015
"38","Archived",43,"Management of malignant pleural effusion.",TRUE,"Alberta Provincial Lung Tumour Team. Management of malignant pleural effusion. Version 1. Edmonton (AB)  CancerControl Alberta; 2014 Oct. 13 p. (Clinical practice guideline; no. LU-010).  [27 references ]","[ec0809cf056df7f9eca034c60e6c4483,]","[Cancer Care Alberta, ]","http //www.albertahealthservices.ca/assets/info/hp/cancer/if-hp-cancer-guide-lu010-mpe.pdf","2014 Oct",2014
"39","Archived",42,"Systemic therapy for well and moderately differentiated unresectable pancreatic neuroendocrine tumours.",TRUE,"Alberta Provincial Endocrine Tumour Team. Systemic therapy for well and moderately differentiated unresectable pancreatic neuroendocrine tumours. Version 2. Edmonton (AB)  CancerControl Alberta; 2015 Feb. 18 p. (Clinical practice guideline; no. ENDO-001).  [68 references ]","[ec0809cf056df7f9eca034c60e6c4483,]","[Cancer Care Alberta, ]","http //www.albertahealthservices.ca/assets/info/hp/cancer/if-hp-cancer-guide-endo001-targeted-therapies-pnets.pdf","2015 Feb",2015
"40","Archived",408,"A clinical practice guideline for the use of hyperbaric oxygen therapy in the treatment of diabetic foot ulcers.",FALSE,"Huang ET, Mansouri J, Murad MH, Joseph WS, Strauss MB, Tettelbach W, Worth ER, UHMS CPG Oversight Committee. A clinical practice guideline for the use of hyperbaric oxygen therapy in the treatment of diabetic foot ulcers. Undersea Hyperb Med. 2015 May-Jun;42(3) 205-47.  [86 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26152105  PubMed )","[f2cf19e384dcc3a39adc59dcd9adb434,]","[Undersea and Hyperbaric Medical Society (UHMS), ]","https //www.uhms.org/images/CPG/UHM_42-3_CPG_for_DFU.pdf","2015 May-Jun",2015
"41","Archived",50,"Peyronie s disease  AUA guideline.",TRUE,"Nehra A, Alterowitz R, Culkin DJ, Faraday MM, Hakim LS, Heidelbaugh JJ, Khera M, McVary KT, Miner MM, Nelson CJ, Sadeghi-Nejad H, Seftel AD, Shindel AW, Burnett AL. Peyronie s disease  AUA guideline. Linthicum (MD)  American Urological Association Education and Research, Inc.; 2015 Apr. 41 p.  [307 references ]","[3bda77fd301bb655ab10fd74639eb692,]","[American Urological Association Education and Research, Inc. (AUA), ]","http //www.auanet.org/documents/education/clinical-guidance/Peyronies-Disease.pdf","2015 Apr",2015
